Product;Date;UNIT;Year;Month;Market_Name;Price
Sorghum;2006/03/30;109KG;2006;3;KUMASI;39
Sorghum;2006/03/30;109KG;2006;3;EJURA;NA
Sorghum;2006/03/30;109KG;2006;3;OBUASI;NA
Sorghum;2006/03/30;109KG;2006;3;SUNYANI;41.33
Sorghum;2006/03/30;109KG;2006;3;TECHIMAN;36.83
Sorghum;2006/03/30;109KG;2006;3;HO;44
Sorghum;2006/03/30;109KG;2006;3;TAMALE;20
Sorghum;2006/03/30;109KG;2006;3;BOLGATANGA;25.67
Sorghum;2006/03/30;109KG;2006;3;WA;29.2
Cowpea;2006/03/30;109KG;2006;3;ACCRA;61.17
Cowpea;2006/03/30;109KG;2006;3;TEMA;41
Cowpea;2006/03/30;109KG;2006;3;SEKONDI/TAKORADI;54.33
Cowpea;2006/03/30;109KG;2006;3;KOFORIDUA;60
Cowpea;2006/03/30;109KG;2006;3;CAPE COAST;75.4
Cowpea;2006/03/30;109KG;2006;3;MANKESSIM;66.33
Cowpea;2006/03/30;109KG;2006;3;KUMASI;49.5
Cowpea;2006/03/30;109KG;2006;3;EJURA;NA
Cowpea;2006/03/30;109KG;2006;3;OBUASI;NA
Cowpea;2006/03/30;109KG;2006;3;SUNYANI;52
Cowpea;2006/03/30;109KG;2006;3;TECHIMAN;43.5
Cowpea;2006/03/30;109KG;2006;3;HO;54.33
Cowpea;2006/03/30;109KG;2006;3;TAMALE;28.67
Cowpea;2006/03/30;109KG;2006;3;BOLGATANGA;51.67
Cowpea;2006/03/30;109KG;2006;3;WA;46.7
Maize;2006/04/30;100KG;2006;4;ACCRA;24.65
Maize;2006/04/30;100KG;2006;4;TEMA;27.15
Maize;2006/04/30;100KG;2006;4;SEKONDI/TAKORADI;32.82
Maize;2006/04/30;100KG;2006;4;KOFORIDUA;25
Maize;2006/04/30;100KG;2006;4;CAPE COAST;35.1
Maize;2006/04/30;100KG;2006;4;MANKESSIM;34
Maize;2006/04/30;100KG;2006;4;KUMASI;20.88
Maize;2006/04/30;100KG;2006;4;EJURA;NA
Maize;2006/04/30;100KG;2006;4;OBUASI;31.5
Maize;2006/04/30;100KG;2006;4;SUNYANI;15.8
Maize;2006/04/30;100KG;2006;4;TECHIMAN;14.04
Maize;2006/04/30;100KG;2006;4;HO;27.3
Maize;2006/04/30;100KG;2006;4;TAMALE;17
Maize;2006/04/30;100KG;2006;4;BOLGATANGA;24
Maize;2006/04/30;100KG;2006;4;WA;18.74
Rice-local;2006/04/30;50KG;2006;4;ACCRA;27.05
Rice-local;2006/04/30;50KG;2006;4;TEMA;29
Rice-local;2006/04/30;50KG;2006;4;SEKONDI/TAKORADI;36
Rice-local;2006/04/30;50KG;2006;4;KOFORIDUA;26
Rice-local;2006/04/30;50KG;2006;4;CAPE COAST;36.23
Rice-local;2006/04/30;50KG;2006;4;MANKESSIM;33.35
Rice-local;2006/04/30;50KG;2006;4;KUMASI;36.25
Rice-local;2006/04/30;50KG;2006;4;EJURA;NA
Rice-local;2006/04/30;50KG;2006;4;OBUASI;19.6
Rice-local;2006/04/30;50KG;2006;4;SUNYANI;24
Rice-local;2006/04/30;50KG;2006;4;TECHIMAN;22
Rice-local;2006/04/30;50KG;2006;4;HO;32
Rice-local;2006/04/30;50KG;2006;4;TAMALE;32
Rice-local;2006/04/30;50KG;2006;4;BOLGATANGA;33.5
Rice-local;2006/04/30;50KG;2006;4;WA;29.16
Millet;2006/04/30;93KG;2006;4;ACCRA;46.85
Millet;2006/04/30;93KG;2006;4;TEMA;57.5
Millet;2006/04/30;93KG;2006;4;SEKONDI/TAKORADI;51.25
Millet;2006/04/30;93KG;2006;4;KOFORIDUA;51.5
Millet;2006/04/30;93KG;2006;4;CAPE COAST;56.95
Millet;2006/04/30;93KG;2006;4;MANKESSIM;53.85
Millet;2006/04/30;93KG;2006;4;KUMASI;40.63
Millet;2006/04/30;93KG;2006;4;EJURA;NA
Millet;2006/04/30;93KG;2006;4;OBUASI;38.6
Millet;2006/04/30;93KG;2006;4;SUNYANI;41
Millet;2006/04/30;93KG;2006;4;TECHIMAN;33.5
Millet;2006/04/30;93KG;2006;4;HO;52
Millet;2006/04/30;93KG;2006;4;TAMALE;32.25
Millet;2006/04/30;93KG;2006;4;BOLGATANGA;28.5
Millet;2006/04/30;93KG;2006;4;WA;28.6
Sorghum;2006/04/30;109KG;2006;4;ACCRA;44.5
Sorghum;2006/04/30;109KG;2006;4;TEMA;51.25
